time,emotion
2025-11-26 22:10:35,Surprised
2025-11-26 22:10:36,Angry
2025-11-26 22:10:36,Calm
2025-11-26 22:10:36,Calm
2025-11-26 22:10:37,Happy
2025-11-26 22:10:37,Happy
2025-11-26 22:10:37,Happy
2025-11-26 22:10:38,Happy
2025-11-26 22:10:38,Sad
2025-11-26 22:10:38,Calm
2025-11-26 22:10:39,Calm
2025-11-26 22:10:39,Calm
2025-11-26 22:10:39,Calm
2025-11-26 22:10:40,Calm
2025-11-26 22:10:40,Calm
2025-11-26 22:10:40,Calm
2025-11-26 22:10:41,Calm
2025-11-26 22:10:41,Calm
2025-11-26 22:10:41,Calm
2025-11-26 22:10:42,Calm
2025-11-26 22:10:42,Calm
2025-11-26 22:10:42,Calm
2025-11-26 22:10:43,Calm
2025-11-26 22:10:43,Calm
2025-11-26 22:10:43,Calm
2025-11-26 22:10:44,Surprised
2025-11-26 22:10:44,Calm
2025-11-26 22:10:44,Calm
2025-11-26 22:10:45,Surprised
2025-11-26 22:10:45,Calm
2025-11-26 22:10:46,Calm
2025-11-26 22:10:46,Calm
2025-11-26 22:10:46,Calm
2025-11-26 22:10:47,Calm
2025-11-26 22:10:47,Calm
2025-11-26 22:10:48,Calm
2025-11-26 22:10:48,Calm
2025-11-26 22:10:48,Calm
2025-11-26 22:10:49,Calm
2025-11-26 22:10:49,Calm
2025-11-26 22:16:43,Calm
2025-11-26 22:16:43,Calm
2025-11-26 22:16:44,Calm
2025-11-26 22:16:44,Calm
2025-11-26 22:16:44,Calm
2025-11-26 22:16:45,Sad
2025-11-26 22:16:45,Sad
2025-11-26 22:16:46,Calm
2025-11-26 22:16:46,Calm
2025-11-26 22:16:46,Calm
2025-11-26 22:16:47,Calm
2025-11-26 22:16:47,Calm
2025-11-26 22:16:47,Calm
2025-11-26 22:16:48,Calm
2025-11-26 22:16:48,Calm
2025-11-26 22:16:48,Sad
2025-11-26 22:16:49,Calm
2025-11-26 22:16:49,Happy
2025-11-26 22:16:49,Happy
2025-11-26 22:16:50,Happy
2025-11-26 22:16:50,Sad
2025-11-26 22:16:51,Calm
2025-11-26 22:16:51,Angry
2025-11-26 22:16:51,Scared
2025-11-26 22:16:52,Happy
2025-11-26 22:16:52,Calm
2025-11-26 22:16:52,Happy
2025-11-26 22:16:52,Sad
2025-11-26 22:16:53,Sad
2025-11-26 22:16:53,Calm
2025-11-26 22:16:54,Sad
2025-11-26 22:16:54,Calm
2025-11-26 22:16:54,Sad
2025-11-26 22:16:55,Calm
2025-11-26 22:16:55,Happy
2025-11-26 22:16:55,Sad
2025-11-26 22:16:56,Sad
2025-11-26 22:16:56,Calm
2025-11-26 22:16:57,Calm
2025-11-26 22:16:57,Calm
2025-11-26 22:16:57,Calm
2025-11-26 22:16:58,Sad
2025-11-26 22:16:58,Sad
2025-11-26 22:16:58,Sad
2025-11-26 22:16:59,Sad
2025-11-26 22:22:29,Calm
2025-11-26 22:22:30,Sad
